headline,description,category,source,url
Shakib included in squad for South Africa Test,"Shakib Al Hasan has been included in the Test team of Bangladesh that will play in Mirpur against South Africa, starting on 21 October.",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/7awlkubfq6
Pakistan tail frustrates England to reach 358-8 at lunch,Carse’s fellow seamer Matthew Potts (2-65) forced an edge off Salman Agha on a sharp rising delivery with Smith taking another regulation catch to leave the hosts on 302-7,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/pkitjpk8m2
Vintage Messi nets hat trick as Argentina hit Bolivia for six,"The 37-year-old provided an emphatic reminder of his enduring quality with three clinical finishes, two assists and some of his trademark creativity throughout the game as Lionel Scaloni’s side dominated",Sports,prothomalo,https://en.prothomalo.com/sports/football/c0gcp5np7x
"Nothing personal behind dismissal of Hathurusingha, claims BCB chief ","Faruque, during his earlier position as the chief selector, developed differences with the coach on various issues",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/ixynu6io2h
"Hathurusingha suspended, Phil Simmons new coach ",He said former West Indies cricketer Phil Simmons will take over as the head coach of the national team till the ICC Champions Trophy,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/jylwt1s73t
BPL 2025: How the squads look like after players’ draft,Seven participating teams of the upcoming Bangladesh Premier League (BPL) season have completed their teams in players draft held in a city hotel today,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/lzenxyy85y
Sports adviser doesn’t see obstructions in Shakib’s leaving the country,"Though the issue has been clarified from different levels of the government, people’s curiosity over the matter does not seem to die down",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/11f9w8nd9z
Samson ton powers India to series sweep after record total,Opener Sanju Samson’s blistering century helped world champions India hammer Bangladesh in the final T20 on Saturday to sweep the series 3-0 after they posted the format’s highest total by a Test-playing nation of 297-6,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/pb6pe5kf7s
"Bangladesh take on India today, aiming for consolation win","The Tigers are set to face India in the third T20I of their three-match series on Saturday in Hyderabad, hoping to avoid a clean sweep after losing the first two matches.",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/cs8wxzivlo
Leach leads England's rout of Pakistan in first Test,"England's bowlers, led by spinner Jack Leach, tore through Pakistan to secure victory in the first Test in Multan on Friday after a record partnership between Harry Brook and Joe Root turned the match on its head.",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/a603oxcs3e
"Argentina held, Brazil leave it late in 2026 World Cup qualifiers",Argentina were held to a 1-1 draw by Venezuela on Lionel Messi's return as Brazil got their 2026 World Cup qualifying campaign back on track with a last-gasp 2-1 victory over Chile on Thursday.,Sports,prothomalo,https://en.prothomalo.com/sports/football/yvown4rm31
Rafael Nadal calls time on epic tennis career,"Rafael Nadal on Thursday announced he will retire after the Davis Cup finals in November, ending a career which brought 22 Grand Slam titles, global respect and inspired epic, iconic rivalries with Roger Federer and Novak Djokovic.",Sports,prothomalo,https://en.prothomalo.com/sports/r502phuhr5
"Record-breaking Root, Brook both pass 200 as England pile up 658-3",Record-breaking Joe Root and Harry Brook smashed career-best double centuries Thursday as relentless England piled up 658-3 against Pakistan by lunch on the fourth day of the opening Test in Multan.,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/j4xo1e1wuj
"Run blitz edges India, S Africa closer to semi-finals",India and South Africa piled up the two highest totals at the Women’s T20 World Cup on Wednesday to stay on track for the semi-finals,Sports,prothomalo,https://en.prothomalo.com/sports/cricket/orvu4xrbrr
Reddy stars as India crush Bangladesh to clinch series,"Reddy’s blitz included four fours and seven sixes and his 108-run fourth-wicket stand with Rinku Singh, who hit 53, powered India to 221-9 at New Delhi’s Feroz Shah Kotla ground",Sports,prothomalo,https://en.prothomalo.com/sports/cricket/krjvql99rr
EC search committee formed with Justice Zubayer Rahman Chowdhury as chairman,"In accordance with the law, this committee will recommend two candidates for each position, including the Chief Election Commissioner and other election commissioners",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/s4r04fd32o
Electoral compromise or initiative to avoid unwarranted situation?,"The letters could be issued from the strategic point of maintaining the political alliance with the like-minded parties in the pre-election period, said political analysts",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/2tlqjxjgh6
"Don't let your respect be harmed, Fakhrul tells Dr Yunus ","There is no need to be restless. The interim government will hold an election that will satisfy everyone. But they must be given time, he says",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/ycal8ijhmn
Chhatra Shibir comes out on JU campus," Leaders of the Chhatra Shibir's JU unit issued a statement on this matter at 11:30 pm on Tuesday.",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/cq4wteu8ys
Process underway to take Khaleda Zia abroad for treatment,She will be taken to London by a long-distance specialised air ambulance and later to a multidisciplinary medical center in a third country.,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/hveif2hncq
Khaleda Zia to be taken to London for treatment soon,BNP chairperson Khaleda Zia would be taken abroad for treatment soon. She would first be taken to the United Kingdom,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/11jb6j2e8p
Sarjis against mass arrest as many ‘post holders’ of BCL joined student movement,He also clarified that this statement is applicable to Dhaka University only. He has no detailed idea about other universities,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/ih5ub2372o
Political parties ask whether govt supports students’ demands,Leaders of various political parties raised the question at a discussion on ‘80 Days of the interim government: Tendencies and challenges’ at Dhaka Reporters’ Unity in the capital on Monday,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/4xxnvpuq3w
"Why so busy only about president, BNP’s Rizvi asks interim govt","Why are creating one one after another complexity? There are many aides of Sheikh Hasina among you but you are not taking actions against them, the BNP leader stated",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/ks8v6e32ji
Conspiracy on to create constitutional crisis: Salahuddin,"Salahuddin Ahmed made the remarks while addressing event at the Bangabandhu International Conference Center (BICC) at the capital’s Agargaon on Sunday. ",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/wcakjv0f6k
Consequence would be grimmer if any party acts like fascists now: Jamaat amir,"Bangladesh Jamaat-e-Islami’s amir Shafiqur Rahman said if any party including his own party acts like fascists, it will face a grimmer consequence than that of the fallen fascist party",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/2en8y2v2bi
President’s removal: Mirza Fakhrul calls not to take hasty decision,"No hasty decision could be made if the revolution needs to be consolidated to reap the fruit of the mass uprising, Mirza Fakhrul said",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/1ijxymbg5p
Student leaders strive for political consensus,"The BNP leaders in that meeting said their party had no sympathy for President Md Shahabuddin. However, they are doubtful over several factors",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/uzc0dvnhuz
People won’t wait indefinitely for elections: BNP,The BNP leader said that a plot of depoliticisation initiated during the 1/11 political changeover is still ongoing,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/1usi1x14f5
We don’t believe in politics of banning: BNP’s Khairul Kabir,"The party that will get the people’s mandate will go to power in the future. But there will be no such incident where day’s voting would take place at night, he added",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/yds1rnkbpp
"Conspiracies on, arrange election soon: BNP","They also demanded that former prime minister Sheikh Hasina, who fled to India, be brought back to the country immediately.",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/vrlik5uqzh
"Many fake, chameleon-like coordinators sprung up after 5 Aug: Sarjis",This central coordinator of Students Against Discrimination also said if any student thinks to be a fascist in the future and tries to abuse power will be expelled and legal actions will be taken against them.,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/7yir2w5up5
The way AL did politics in past will never come back in future: Nahid,Information and broadcasting adviser Md. Nahid Islam Wednesday said the fascist Awami League has no right to do politics in the democratic structure of Bangladesh,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/8drs7k8fdw
BNP doesn’t want any state or constitutional crisis: Salahuddin,"Bangladesh Nationalist Party (BNP) standing committee member Salahuddin Ahmed has said that his party does not want any state, constitutional and political crisis in the country at the moment centering the post of president.",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/veltgi1vmx
BNP delegation meets chief adviser Dr. Yunus,BNP leader Nazrul Islam Khan briefed the journalists after the delegation emerged from the meeting around 12:00 pm Wednesday,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/hc3yssulc4
"SAD to unveil a framework on politics, other issues soon","Students Against Discrimination would soon unveil a framework on how politics would work in Bangladesh. The platform's framework will also cover issues such as banning Bangladesh Chhatra League, resignation of the president and formulating a new constitution",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/g9clzjuimn
"New debate emerges over keeping AL away from politics, election","A statement from the interim government that it will prevent the political programmes of the parties including the ousted Awami League, which participated in the last three elections, has given rise to new discussions. Different political parties including BNP maintain that the problem will arise if any decision is taken about elections or to prevent parties from politics without discussing with the political parties.",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/tt562oxrs6
Jatiya Party not invited to join dialogue with chief adviser,"The leaders of the Jatiya Party had been longing for an invitation, but they got no call at the end",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/3vzz17icrm
Dr Yunus to hold dialogue with some parties today ,"The parties are Gano Forum, LDP, Jatiyatabadi Sammana Jot, the 12-Party Alliance, Jatiya Mukti Council, Labour Party, and Bangladesh Jatiya Party (BJP).",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/6cdsmog2oa
"Obaidul Quader said he won't flee, but even AL leaders don't know where he is","When Obaidul Quader made this statement at an Awami League public meeting held at the historic madrasa grounds in Rajshahi, also present on stage were Awami League president Sheikh Hasina, who was the prime minister at the time.",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/7yimukuh4k
"JaPa co-chair declares Hasnat, Sargis persona non grata in Rangpur","Hasnat Abdullah and Sargis Alam cannot come to Rangpur as they called on Facebook not to invite the Jatiya Party in political dialogues, Mostafizar Rahman said",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/3ib1x46wye
Tipu was the new 'king' of Taher’s ‘kingdom’ in Lakshmipur,"Lakshmipur, once dubbed as a 'city of terror', is now much quieter. The people who have been silent for so long have started speaking up about Salah Uddin, the former president of district Jubo League",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/h6yyn4x89e
AL should face trial under black laws it created: Jamaat amir,Bangladesh Jamaat e Islami amir (chief) Shafiqur Rahman has sought trial of Awami League under the black laws formulated by the party itself during its long stretch in power,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/jis7bhnrzm
"The BCL, Jubo League men who opened fire are not being arrested: Rizvi",Rizvi said this while talking to the media after paying his respect by placing wreaths at the grave of the party founder Ziaur Rahman at Sher-e-Bangla Nagar in the capital,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/ba8reucqwn
Jamaat chief backs crimes against humanity trial for Sheikh Hasina,Bangladesh's top Islamist politician says he supports the extradition of ousted premier Sheikh Hasina to face trial for crimes against humanity in the same tribunal that convicted his colleagues.,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/tqut7rr7w1
BNP faces flak for activists’ activities in 2 months,"Despite taking the tougher actions that include expulsion, release, demotion and cancelling the committee, there has been no stopping in receiving allegations",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/15efrsc76s
Uncertainty over Jatiya Party joining dialogue as objections arise,"Lastly, the party joined the 7 January election and became the opposition in the 12th parliament. ",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/2zozxykxru
"Jamaat wants roadmaps on reform, election",Jamaat chief Shafiqur Rahman said the law and order situation of the country has been discussed in the meeting. How the people and the government can work together to improve the law and order situation and keep the nation united against all kinds of conspiracies were discussed during the meeting,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/d8fry5zgis
Govt says elections number one priority: Mirza Fakhrul,BNP once again sought a roadmap to elections during adialogue with Chief Adviser to the interim government Dr Muhammad Yunus.,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/d6z4fsz3pi
BNP will join talks with interim govt Saturday ,"The interim government is set to begin a new round of dialogue with major political parties on Saturday, starting with a meeting with the Bangladesh Nationalist Party (BNP). ",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/5ssw1yg996
Students Against Discrimination to form committees outside Dhaka too,The Students Against Discrimination wants to work as a pressure group in the reform of the state at the district level. The central coordinators also feel that they need to have an organised team to uphold the spirit of the mass uprising,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/9lt6coccbn
Meetings to exchange views: Proposals made to form alternative political platform,"Several demands and proposals, including constituting an alternative political platform, ensuring transparency in the important tasks of the state and protecting the spirit of July-August mass-uprising, were raised in the district level meetings organised by the Students Against Discrimination to exchange views",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/9euuzgifey
Interim govt must win BNP's unshakeable trust: Tarique,"BNP acting chairman Tarique Rahman on Saturday said the interim government, led by Dr Muhammad Yunus, must take on the challenge of winning the BNP's trust unshakably.",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/zuydjpr55o
DU Shibir denies involvement in cutting tendons,It alleged that the Awami League considered Chhatra Shibir as the strongest threat to establishing fascism in the country.,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/sb1t1371ev
Political parties want a timeframe from the govt too,There hasn’t been any statement from the government regarding the possible date of the next parliamentary polls,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/il6c8c4cye
"Dhaka University unit Shibir president makes revelation, draws reactions",Some were surprised as they knew him personally but could not learn or understand his political identity. Some expressed concerns over the open politics of Shibir in Dhaka University.,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/utx1xglrv3
Indian high commissioner Pranay Verma meets BNP's Mirza Fakhrul,Indian high commissioner Pranay Verma has met BNP secretary general Mirza Fakhrul Islam Alamgir.,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/3doy6dpzed
"Govt of mass-uprising surely a govt of people: Tarique ",He made the statement while addressing a commemoration programme at Enayetpur Islamia High School in Sirajganj on Saturday afternoon.,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/9l28jxnvve
Youth have the right to form a new political party: Farhad Mazhar,"If the present political parties are unable to fulfill the expectations of the people as expressed through the youth, then there is need for a new political party, feels poet, writer and political commentator Farhad Mazhar. He said, the youth have the right to form a new political party.",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/o9telnmxce
Fakhrul senses conspiracy behind unrest in hills,"The remarks made by deposed prime minister Sheikh Hasina while in India are having a significant impact in Bangladesh, he said",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/b8db5u1ky6
Student politics banned in 33 institutions of higher education,"In face of student demands, student politics has been banned in at least 19 public universities, 4 government colleges and 10 government medical colleges. Student politics was prohibited in these institutions after the fall of the Awami League government on 5 August following the student-people's mass uprising. ",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/9nixoixo56
Interim govt cannot be allowed to fail: Tarique Rahman,"He also urged the interim government to remain cautious so that they do not end up being the reason for their own failure. ",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/3j4rh4vvck
Asif Mahmud bins 'rumour' of potential political party by students,He also clarified that no members of the current government have aspirations for power,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/yt6wbk4enr
BNP rally begins at Naya Paltan,"Tarique Rahman, the party's acting chairperson, is expected to address the rally virtually",Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/d2oj5vmaer
We have long way to go to build strong democracy: Tarique,He came up with the statement marking the occasion of the International Day of Democracy on Sunday,Politics,prothomalo,https://en.prothomalo.com/bangladesh/politics/socsmvkasi
Ancient Egypt's 'screaming' mummy woman may have died in agony,"Scientists now have an explanation for the ""Screaming Woman"" mummy after using CT scans to perform a ""virtual dissection."" It turns out she may have died in agony and experienced a rare form of muscular stiffening, called a cadaveric spasm, that occurs at the moment of death.",science,prothomalo,https://en.prothomalo.com/science-technology/science/bodo71h58b
NASA Mars rover captures rock that could hold fossilised microbes,"NASA's Perseverance Mars rover came across an intriguing, arrow-shaped rock dubbed ""Cheyava Falls"" that may harbor fossilised microbes from billions of years ago, when Mars was a watery world.",science,prothomalo,https://en.prothomalo.com/science-technology/science/wxglvp529k
NASA releases Webb telescope images of a galactic merger,NASA released on Friday a pair of images taken by the James Webb Space Telescope showing two galaxies - one nicknamed the Penguin and the other the Egg.,science,prothomalo,https://en.prothomalo.com/science-technology/science/7qcu1w0cud
"In Peru, remains of wealthy pre-Inca people unearthed at ancient capital","Archaeologists in Peru have discovered the remains of what is believed to be wealthy members of the Chimu civilisation, a pre-Inca society that thrived for centuries in arid plains nestled between the Pacific Ocean and Andes Mountains.",science,prothomalo,https://en.prothomalo.com/science-technology/science/j68f4hj8wm
Rotten eggs chemical detected on Jupiter-like alien planet,"A trace amount of hydrogen sulfide was detected in the atmosphere of the planet known as HD 189733b, a first for any exoplanet.",science,prothomalo,https://en.prothomalo.com/science-technology/science/c6oepzudmc
Scientists reemerge after year 'on Mars',"They have been growing vegetables, conducting ""Marswalks,"" and operating under what NASA terms ""additional stressors""",science,prothomalo,https://en.prothomalo.com/science-technology/science/nzrvfhiyyk
Genome study deepens mystery of what doomed Earth's last mammoths,"The study offers the fullest account to date of the inbreeding, deleterious mutations and low genetic diversity experienced by the last mammoth population.",science,prothomalo,https://en.prothomalo.com/science-technology/science/ikrr504ehd
NASA picks SpaceX to carry ISS to its watery graveyard after 2030,"NASA selects SpaceX to develop a vessel to safely deorbit the ISS into the Pacific Ocean post its retirement in 2030, ensuring a responsible transition in low Earth orbit.",science,prothomalo,https://en.prothomalo.com/science-technology/science/txd251335s
'Magical sight': Mass insect migration in European mountain pass,"Witness the magical sight of mass insect migration in a European mountain pass where millions of insects create a living carpet, as captured by scientist Will Hawkes.",science,prothomalo,https://en.prothomalo.com/science-technology/science/j5s2e21s7a
Frost discovered on top of giant Mars volcanoes,"Discover the surprising presence of frost on the peaks of massive Mars volcanoes, a new finding that could impact future human exploration of the Red Planet.",science,prothomalo,https://en.prothomalo.com/science-technology/science/yqt0fxumli
"Elephants call each other by name, study finds","Elephants use unique names to call each other, a groundbreaking study reveals. Researchers found that elephants create individual names for their peers, a behavior not seen in other non-human animals.",science,prothomalo,https://en.prothomalo.com/science-technology/science/50ccvegf1o
Planet-forming disk around small star offers big surprises,"New research reveals surprising insights into planet formation around very low mass stars, showing unique chemistry in planet-forming disks. Discover how these small stars differ from sun-like stars in hosting rocky planets.",science,prothomalo,https://en.prothomalo.com/science-technology/science/vj327ubvy7
Apollo 8 astronaut dies in small plane crash,"Former Apollo 8 astronaut William Anders dies in small plane crash at age 90, known for iconic 'Earthrise' photo",science,prothomalo,https://en.prothomalo.com/science-technology/science/w9hxjlamrn
Boeing Starliner crew aboard ISS after challenging docking,"Boeing Starliner successfully docks at ISS after overcoming thruster malfunctions and helium leaks, marking a milestone for NASA's Commercial Crew Programme",science,prothomalo,https://en.prothomalo.com/science-technology/science/r4p6y48q4e
"Venus has more volcanism than previously known, new analysis finds","New analysis reveals Venus is more volcanically active than previously thought, with evidence of eruptions at two additional sites on the planet's surface.",science,prothomalo,https://en.prothomalo.com/science-technology/science/kckgsij4wm
"Webb telescope finds most distant galaxy ever observed, again","Discover the most distant galaxy ever observed, JADES-GS-z14-0, just 290 million years after the Big Bang, with profound implications for our understanding of Cosmic Dawn.",science,prothomalo,https://en.prothomalo.com/science-technology/science/08p7ru6295
16 top AI firms make new safety commitments at Seoul summit,"16 top AI firms commit to new safety measures at Seoul summit, including transparency and accountability on AI development plans",science,prothomalo,https://en.prothomalo.com/science-technology/science/50rzk83rst
